,Subject,RT,condition,Error,sens_comp,resp_comp
39124,21,514.6800000000002,anHULC,1,incomp,incomp
39125,21,550.88,anHULC,1,incomp,incomp
39126,21,516.58,anHULC,1,incomp,incomp
39127,21,425.17,anHULC,1,incomp,incomp
39128,21,1391.1,anHULC,1,incomp,incomp
39129,21,1177.2,anHULC,1,incomp,incomp
39130,21,519.48,anHULC,1,incomp,incomp
39131,21,639.3800000000001,anHULC,1,incomp,incomp
39132,21,595.45,anHULC,1,incomp,incomp
39133,21,759.79,anHULC,1,incomp,incomp
39134,21,552.3399999999998,anHULC,1,incomp,incomp
39135,21,1259.2,anHULC,1,incomp,incomp
39136,21,1065.6,anHULC,1,incomp,incomp
39137,21,724.46,anHULC,1,incomp,incomp
39138,21,633.29,anHULC,1,incomp,incomp
39139,21,783.58,anHULC,1,incomp,incomp
39140,21,893.39,anHULC,1,incomp,incomp
39141,21,447.72,anHULC,1,incomp,incomp
39142,21,860.45,anHULC,1,incomp,incomp
39143,21,674.3600000000001,anHULC,1,incomp,incomp
39144,21,546.96,anHULC,1,incomp,incomp
39145,21,887.5600000000002,anHULC,1,incomp,incomp
39146,21,436.27,anHULC,1,incomp,incomp
39147,21,735.14,anHULC,1,incomp,incomp
39148,21,436.48,anHULC,1,incomp,incomp
39149,21,520.49,anHULC,1,incomp,incomp
39150,21,1010.9,anHULC,1,incomp,incomp
39151,21,492.79,anHULC,1,incomp,incomp
39152,21,582.9300000000002,anHULC,1,incomp,incomp
39153,21,642.02,anHULC,1,incomp,incomp
39154,21,1316.3,anHULC,0,incomp,incomp
39155,21,828.7399999999999,anHULC,1,incomp,incomp
39156,21,1014.4,anHULC,1,incomp,incomp
39157,21,607.4399999999998,anHULC,1,incomp,incomp
39158,21,607.45,anHULC,1,incomp,incomp
39159,21,956.44,anHULC,1,incomp,incomp
39160,21,733.9899999999999,anHULC,1,incomp,incomp
39161,21,566.79,anHULC,1,incomp,incomp
39162,21,434.25,anHULC,1,incomp,incomp
39163,21,713.5899999999998,anHULC,1,incomp,incomp
39164,21,642.4100000000002,anHULC,1,incomp,incomp
39165,21,1718.4,anHULC,1,incomp,incomp
39166,21,732.22,anHULC,1,incomp,incomp
39167,21,796.75,anHCLU,1,comp,incomp
39168,21,495.58,anHCLU,1,comp,incomp
39169,21,712.1800000000002,anHCLU,1,comp,incomp
39170,21,917.6,anHCLU,1,comp,incomp
39171,21,631.9,anHCLU,1,comp,incomp
39172,21,715.37,anHCLU,1,comp,incomp
39173,21,380.99,anHCLU,1,comp,incomp
39174,21,468.87,anHCLU,0,comp,incomp
39175,21,516.9,anHCLU,1,comp,incomp
39176,21,638.5,anHCLU,1,comp,incomp
39177,21,932.08,anHCLU,1,comp,incomp
39178,21,487.09,anHCLU,1,comp,incomp
39179,21,421.2000000000001,anHCLU,1,comp,incomp
39180,21,1104.5,anHCLU,1,comp,incomp
39181,21,686.26,anHCLU,1,comp,incomp
39182,21,1013.8,anHCLU,1,comp,incomp
39183,21,632.61,anHCLU,1,comp,incomp
39184,21,651.9699999999998,anHCLU,1,comp,incomp
39185,21,756.39,anHCLU,1,comp,incomp
39186,21,1914.5,anHCLU,1,comp,incomp
39187,21,547.3100000000002,anHCLU,1,comp,incomp
39188,21,605.8100000000002,anHCLU,1,comp,incomp
39189,21,696.9100000000002,anHCLU,1,comp,incomp
39190,21,623.6,anHCLU,1,comp,incomp
39191,21,737.4000000000002,anHCLU,1,comp,incomp
39192,21,626.49,anHCLU,1,comp,incomp
39193,21,581.62,anHCLU,1,comp,incomp
39194,21,563.5,anHCLU,1,comp,incomp
39195,21,639.3100000000002,anHCLU,1,comp,incomp
39196,21,763.93,anHCLU,1,comp,incomp
39197,21,639.5999999999998,anHCLU,1,comp,incomp
39198,21,560.16,anHCLU,1,comp,incomp
39199,21,567.23,anHCLU,1,comp,incomp
39200,21,795.5899999999998,anHCLU,1,comp,incomp
39201,21,775.3100000000002,anHCLU,1,comp,incomp
39202,21,539.23,anHCLU,1,comp,incomp
39203,21,647.2399999999999,anHCLU,1,comp,incomp
39204,21,565.57,anHCLU,1,comp,incomp
39205,21,349.79,anHCLU,1,comp,incomp
39206,21,688.57,anHCLU,0,comp,incomp
39207,21,700.3199999999998,anHCLU,1,comp,incomp
